11325 atoms
1 atom types

0.0 4.072500000000001 xlo xhi
0.0 4.072500000000001 ylo yhi
0.0 4.072500000000001 zlo zhi
0.000000 0.000000 0.000000 xy xz yz

Masses

1 28.0855

Atoms
342 1 2.9865000000000004 2.9865000000000004 0.0 0.132
343 1 2.9865000000000004 3.258 0.0 0.132
344 1 2.9865000000000004 3.5295 0.0 0.132
345 1 2.9865000000000004 3.801 0.0 0.132
346 1 3.12225 0.13575 0.0 0.132
347 1 3.12225 0.40725 0.0 0.132
348 1 3.12225 0.6787500000000001 0.0 0.132
349 1 3.12225 0.95025 0.0 0.132
350 1 3.12225 1.2217500000000001 0.0 0.132
351 1 3.12225 1.4932500000000002 0.0 0.132
352 1 3.12225 1.76475 0.0 0.132
353 1 3.12225 2.0362500000000003 0.0 0.132
354 1 3.12225 2.30775 0.0 0.132
355 1 3.12225 2.57925 0.0 0.132
356 1 3.12225 2.85075 0.0 0.132
357 1 3.12225 3.12225 0.0 0.132
358 1 3.12225 3.3937500000000003 0.0 0.132
359 1 3.12225 3.6652500000000003 0.0 0.132
360 1 3.12225 3.9367500000000004 0.0 0.132
361 1 3.258 0.0 0.0 0.132
362 1 3.258 0.2715 0.0 0.132
363 1 3.258 0.543 0.0 0.132
364 1 3.258 0.8145 0.0 0.132
365 1 3.258 1.086 0.0 0.132
366 1 3.258 1.3575000000000002 0.0 0.132
367 1 3.258 1.629 0.0 0.132
368 1 3.258 1.9005 0.0 0.132
369 1 3.258 2.172 0.0 0.132
370 1 3.258 2.4435000000000002 0.0 0.132
371 1 3.258 2.7150000000000003 0.0 0.132
372 1 3.258 2.9865000000000004 0.0 0.132
373 1 3.258 3.258 0.0 0.132
374 1 3.258 3.5295 0.0 0.132
375 1 3.258 3.801 0.0 0.132
376 1 3.3937500000000003 0.13575 0.0 0.132
377 1 3.3937500000000003 0.40725 0.0 0.132
378 1 3.3937500000000003 0.6787500000000001 0.0 0.132
379 1 3.3937500000000003 0.95025 0.0 0.132
380 1 3.3937500000000003 1.2217500000000001 0.0 0.132
381 1 3.3937500000000003 1.4932500000000002 0.0 0.132
382 1 3.3937500000000003 1.76475 0.0 0.132
383 1 3.3937500000000003 2.0362500000000003 0.0 0.132
384 1 3.3937500000000003 2.30775 0.0 0.132
385 1 3.3937500000000003 2.57925 0.0 0.132
386 1 3.3937500000000003 2.85075 0.0 0.132
387 1 3.3937500000000003 3.12225 0.0 0.132
388 1 3.3937500000000003 3.3937500000000003 0.0 0.132
389 1 3.3937500000000003 3.6652500000000003 0.0 0.132
390 1 3.3937500000000003 3.9367500000000004 0.0 0.132
391 1 3.5295 0.0 0.0 0.132
392 1 3.5295 0.2715 0.0 0.132
